Rank,Location,Percentage of Mormon Residents
1,Utah,0.68
2,Idaho,0.26
3,Wyoming,0.12
4,Nevada,0.06
5,Arizona,0.06
6,Hawaii,0.05
7,Montana,0.05
8,Alaska,0.05
9,Washington,0.04
10,Oregon,0.04
11,New Mexico,0.03
12,Colorado,0.03
13,California,0.02
14,North Dakota,0.01
15,Nebraska,0.01
16,Kansas,0.01
17,Texas,0.01
18,Oklahoma,0.01
19,South Dakota,0.01
20,Missouri,0.01
21,Virginia,0.01
22,Arkansas,0.01
23,West Virginia,0.01
24,Iowa,0.01
25,North Carolina,0.01
26,Georgia,0.01
27,Maine,0.01
28,South Carolina,0.01
29,Kentucky,0.01
30,Alabama,0.01
31,Florida,0.01
32,Tennessee,0.01
33,Mississippi,0.01
34,Vermont,0.01
35,Maryland,0.01
36,Indiana,0.01
37,New Hampshire,0.01
38,Louisiana,0.01
39,Minnesota,0.01
40,Delaware,0.01
41,Ohio,0.01
42,Wisconsin,0.00
43,Illinois,0.00
44,Michigan,0.00
45,Connecticut,0.00
46,New York,0.00
47,District of Columbia,0.00
48,Massachusetts,0.00
49,Pennsylvania,0.00
50,Rhode Island,0.00
51,New Jersey,0.00